ID,英文名詞,中文名詞,審譯日期,更新日期
21381924,abrasion action,磨蝕作用,113.06.14,
21381925,abrasives ,研磨料；研磨物 ,113.06.14,
21381926,absolute age ,絕對年齡 ,113.06.14,
21381927,absolute dating,絕對定年,113.06.14,
21381928,absolute solid density ,絕對固體密度,113.04.25,
21381929,absorbed layer ,吸收層 ,113.06.14,
21381930,absorbed water ,吸收水 ,113.06.14,
21381931,absorption limit ,吸收界限 ,113.06.14,
21381932,absorption loss ,吸收損失 ,113.06.14,
21381933,abutment ,橋台；壩座,113.06.14,
21381934,abutment wall ,橋台翼牆 ,113.06.14,
21381935,abysmal deposit ,深海沉積 ,113.06.14,
21381936,acceptable wave condition ,容許波浪條件 ,113.06.14,
21381937,accident investigation ,意外調查；事故調查 ,113.06.14,
21381938,accident report ,意外事件報告；意外事故報告,113.06.14,
21381939,accident statistics ,意外事件統計；意外事故統計,113.06.14,
21381940,accidental loading,意外荷載；意外載重,113.06.14,
21381941,accredited private laboratory ,認證私營實驗室,113.06.14,
21381942,accumulated deformation ,累積變形 ,113.06.14,
21381943,accuracy ,精度 ,113.06.14,
21381944,acidic corrosion ,酸性腐蝕,113.06.14,
21381945,acidic igneous rock  ,酸性火成岩,113.06.14,
21381946,acidity and alkalinity test ,酸鹼度試驗 ,113.06.14,
21381947,acidity test ,酸度試驗 ,113.06.14,
21381948,acid-pickling ,酸洗；酸浸 ,113.06.14,
21381949,acoustic detection,聲輻探測,113.06.14,
21381950,Acoustic Doppler Current Profiler (ADCP) ,聲波都卜勒流速剖面量測儀；聲波都卜勒流剖儀,113.06.14,
21381951,acoustic emission monitoring ,聲射監測；音射監測,113.06.14,
21381952,acoustic exploration ,聲輻探勘,113.06.14,
21381953,acoustic frequency geo-electric field method ,聲頻大地電場法 ,113.06.14,
21381954,acoustic piezometer ,聲輻測壓計 ,113.06.14,
21381955,acrylamide grouting ,丙烯醯胺灌漿,113.06.14,
21381956,active clay ,活性黏土 ,113.06.14,
21381957,active earth pressure,主動土壓力,113.04.19,
21381958,active fault ,活動斷層,113.06.14,
21381959,active isolation ,主動隔振；主動隔離,113.06.14,
21381960,active period ,活動期；活躍期 ,113.06.14,
21381961,active stabilizer ,活性穩定劑,113.06.14,
21381962,active state ,主動狀態 ,113.06.14,
21381963,active water ,活性水,113.06.14,
21381964,active zone ,主動區；活性區,113.06.14,
21381965,activity ,活性,113.06.14,
21381966,activity index,活性指數,113.04.19,
21381967,additional stress ,額外應力,113.06.14,
21381968,adhesion ,黏著力；黏著作用,113.06.14,
21381969,adhesive ,黏合劑；黏著劑,113.06.14,
21381970,admiralty chart ,海圖 ,113.06.14,
21381971,admixture ,摻料；混合物,113.06.14,
21381972,advance works ,前期工程；先期作業,113.06.14,
21381973,adverse geological condition ,不良地質情況；不良地質條件,113.06.14,
21381974,aeolian deposit,風積層；風積土,113.04.19,
21381975,aeolian soil ,風積土 ,113.06.14,
21381976,aerated water ,氣溶水,113.06.14,
21381977,aeration zone ,通氣帶 ,113.06.14,
21381978,aeration zone water ,通氣帶水 ,113.06.14,
21381979,aerobe ,好氧菌；需氧菌,113.06.14,
21381980,age dating,定年,113.06.14,
21381981,ageing ,老化 ,113.06.14,
21381982,agglomerate ,集塊岩 ,113.06.14,
21381983,aggregate ,團粒；粒料,113.06.14,
21381984,aggregate abrasion value ,粒料耐磨值 ,113.06.14,
21381985,aggregate impact value ,粒料衝擊強度值 ,113.06.14,
21381986,agitator ,攪拌器 ,113.06.14,
21381987,A-horizon ,土壤A層；土壤風化表層,113.06.14,
21381988,air compressor ,空氣壓縮機 ,113.06.14,
21381989,air content,含氣率 ,113.06.14,
21381990,air jet ,噴射氣流；噴嘴 ,113.06.14,
21381991,air permeability ,透氣性；透氣率 ,113.06.14,
21381992,air permeability test ,透氣性試驗；透氣率試驗 ,113.06.14,
21381993,air void,空氣孔隙；氣隙,113.06.14,
21381994,air void ratio,氣隙比 ,113.06.14,
21381995,air-dried soil ,氣乾土 ,113.06.14,
21381996,air-lift equipment ,氣升設備；氣升泵,113.06.14,
21381997,air-lock ,氣閘 ,113.06.14,
21381998,alert level ,警戒層級；警戒值,113.06.14,
21381999,alignment,定線；路線,113.06.14,
21382000,alignment survey ,定線測量 ,113.06.14,
21382001,A-line ,塑性圖A線 ,113.06.14,
21382002,allowable amplitude ,容許振幅 ,113.06.14,
21382003,allowable bearing capacity,容許承載力；容許支承力,113.06.14,
21382004,allowable deformation ,容許變形 ,113.06.14,
21382005,allowable displacement ,容許位移 ,113.06.14,
21382006,allowable error ,容許誤差 ,113.06.14,
21382007,allowable loading,容許荷載 ,113.06.14,
21382008,allowable settlement ,容許沉陷量,113.06.14,
21382009,alluvial plain ,沖積平原 ,113.06.14,
21382010,alluvial soil ,沖積土 ,113.06.14,
21382011,alluvial terrace ,沖積階地 ,113.06.14,
21382012,alluvium ,沖積物；沖積層 ,113.06.14,
21382013,all-weather ,全天候 ,113.06.14,
21382014,alternating loading,反復荷載,113.06.14,
21382015,altimeter ,測高儀 ,113.06.14,
21382016,altitude ,高程；海拔 ,113.06.14,
21382017,aluminum octahedron ,鋁八面體 ,113.06.14,
21382018,ambient pressure ,環境壓力 ,113.06.14,
21382019,ambient temperature ,環境溫度 ,113.06.14,
21382020,amplification factor ,放大因數 ,113.06.14,
21382021,amplitude ratio ,振幅比 ,113.06.14,
21382022,anaerobe ,厭氧菌；厭氧生物 ,113.06.14,
21382023,anaerobic sulfate-reducing bacteria,厭氧硫酸鹽還原菌,113.06.14,
21382024,anchor pile ,錨定樁 ,113.06.14,
21382025,anchor plate ,錨定板 ,113.06.14,
21382026,anchor rod ,錨桿 ,113.06.14,
21382027,anchor slab,錨定版,113.04.19,
21382028,anchor wall ,錨定牆 ,113.06.14,
21382029,anchored retaining wall,錨定式擋土牆,113.05.22,
21382030,ancillary works ,附屬工程 ,113.06.14,
21382031,andesite ,安山岩 ,113.06.14,
21382032,andesite tuff ,安山凝灰岩 ,113.06.14,
21382033,anemometer ,風速計,113.06.14,
21382034,ANFO blasting agent ,硝酸銨油混合炸藥 ,113.06.14,
21382035,angle of contact ,接觸角,113.06.14,
21382036,angle of dilatancy ,膨脹角,113.06.14,
21382037,angle of external friction ,外摩擦角 ,113.06.14,
21382038,angle of inclination ,傾角 ,113.06.14,
21382039,angle of internal friction,內摩擦角,113.04.19,
21382040,angle of reach ,抵達角,113.06.14,
21382041,angle of repose ,安息角,113.06.14,
21382042,angle of skin friction ,表面摩擦角 ,113.06.14,
21382043,angle of slope ,坡角；斜坡角度 ,113.06.14,
21382044,"angle of wall friction, δ ",牆背摩擦角,113.06.14,
21382045,angularity chart ,棱角度對比圖 ,113.07.11,
21382046,angularity factor ,棱角度因數 ,113.07.11,
21382047,anhydrite ,硬石膏；無水石膏,113.07.11,
21382048,anion adsorption ,陰離子吸附 ,113.07.11,
21382049,anion exchange ,陰離子交換 ,113.07.11,
21382050,anisotropic consolidation ,異向性壓密；異向性固結,113.07.11,
21382051,anisotropic hardening ,異向性硬化,113.07.11,
21382052,anisotropic medium ,異向性介質,113.07.11,
21382053,anisotropic soil ,異向性土壤,113.07.11,
21382054,anisotropy ,異向性,113.07.11,
21382055,anticline ,背斜 ,113.07.11,
21382056,anti-slide pile ,抗滑樁 ,113.07.11,
21382057,anvil ,砧 ,113.07.11,
21382058,aplite ,細晶岩 ,113.07.11,
21382059,apparent angle of internal friction ,視內摩擦角,113.07.11,
21382060,apparent bulk density ,視統體密度,113.04.25,
21382061,apparent cohesion ,視凝聚力,113.04.25,
21382062,apparent preconsolidation pressure ,視預壓密壓力,113.07.11,
21382063,apparent saturated density,視飽和密度,113.04.25,
21382064,apparent saturated surface dry density,視飽和面乾密度,113.04.25,
21382065,apparent shearing strength ,視抗剪強度,113.07.11,
21382066,apparent velocity ,視流速,113.07.11,
21382067,apron ,護坦,113.07.11,
21382068,aquiclude ,不透水層,113.07.11,
21382069,aquifer ,含水層 ,113.07.11,
21382070,aquitard ,阻水層；半透水層；滯水層,113.07.11,
21382071,arch action,拱作用 ,113.07.11,
21382072,arching ,成拱作用 ,113.07.11,
21382073,area load ,面荷載,113.07.11,
21382074,area ratio ,面積比 ,113.07.11,
21382075,argillaceous rock ,泥質岩,113.07.11,
21382076,arid region ,乾燥區,113.07.11,
21382077,armour ,護面,113.07.11,
21382078,armour layer ,護面層 ,113.07.11,
21382079,armour rock ,護面塊石 ,113.07.11,
21382080,artesian aquifer ,自流含水層,113.07.11,
21382081,artesian basin ,自流盆地 ,113.07.11,
21382082,artificial ground ,人工地盤,113.07.11,
21382083,aseismatic design ,耐震設計,113.07.11,
21382084,aseismic region ,無震區 ,113.07.11,
21382085,asphalt mix design ,瀝青配比設計,113.07.11,
21382086,asphalt paver ,瀝青鋪面機 ,113.07.11,
