ID,英文名稱,中文名稱,圖片,化學式,更新日期
358441,heptyl,庚基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>CH<sub>2</sub>－,2012-11-26
358442,heptaphenyl,異稠七苯基,,C<sub>30</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
358443,heptanoyl {enanthyl},庚醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>CO－,2012-11-26
358444,heptanedioyl,庚二醯基,,－OC(CH<sub>2</sub>)<sub>5</sub>CO－,2012-11-26
358445,heptanamido,庚醯胺基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>CONH－,2012-11-26
358446,heptalenyl,并環庚三烯基,,C<sub>1</sub><sub>2</sub>H<sub>9</sub>－,2012-11-26
358447,heptadecyl,十七基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>5</sub>CH<sub>2</sub>－,2012-11-26
358448,heptadecanoyl,十七醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>5</sub>CO－,2012-11-26
358449,heptacosyl,二十七基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub><sub>5</sub>CH<sub>2</sub>－,2012-11-26
358450,heptacontyl,七十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
358451,heptacenyl,稠七苯基,,C<sub>30</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
358452,hentriacontyl,三十一基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub><sub>9</sub>CH<sub>2</sub>－,2012-11-26
358453,heneicosyl,二十一基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>9</sub>CH<sub>2</sub>－,2012-11-26
358454,hendecyl {undecyl},十一基,,C<sub>1</sub><sub>1</sub>H<sub>2</sub><sub>3</sub>－,2012-11-26
358455,hectyl,一百基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>9</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
358456,guanyl {amidino},甲脒基,,H<sub>2</sub>NC(=NH)－,2012-11-26
358457,guanyl,甲脒基,,H<sub>2</sub>NC(=NH)－,2012-11-26
358458,guanido,胍基,,H<sub>2</sub>NC(=NH)NH－,2012-11-26
358459,guanidino,胍基,,H<sub>2</sub>NC(=NH)NH－,2012-11-26
358460,guaiacyl {o-methoxyphenyl},癒創木基 {鄰-甲氧苯基},,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>－</p>,2012-11-26
358461,glyoxylyl,乙醛醯基,,HCOCO－,2012-11-26
358462,glyoxyloyl,乙醛醯基,,HCOCO－,2012-11-26
358463,glyoxyl,乙醛醯基,,HCOCO－,2012-11-26
358464,glycylamino,甘胺醯胺基,,H<sub>2</sub>NCH<sub>2</sub>CONH－,2012-11-26
358465,glycyl {aminoacetyl},甘胺醯基 {胺乙醯基},,H<sub>2</sub>NCH<sub>2</sub>CO－,2012-11-26
358466,glycolyl {glycoloyl},羥乙醯基；乙醇醯基,,HOCH<sub>2</sub>CO－,2012-11-26
358467,glycoloyl,羥乙醯基；乙醇醯基,,HOCH<sub>2</sub>CO－,2012-11-26
358468,glycidyl,環氧丙基,,(OCH<sub>2</sub>CH)CH<sub>2</sub>－,2012-11-26
358469,"glyceroyl {2,3-dihydroxypropanoyl}","甘油醯基 {2,3-二羥丙醯基}",,CH<sub>2</sub>(OH)CH(OH)CO－,2012-11-26
358470,glutaryl,戊二醯基,,－CO(CH<sub>2</sub>)<sub>3</sub>CO－,2012-11-26
358471,γ-glutamyl,γ-麩胺醯基,,HOOCCH(NH<sub>2</sub>)(CH<sub>2</sub>)<sub>2</sub>CO－,2012-11-26
358472,α-glutamyl,α-麩胺醯基,,HOOC(CH<sub>2</sub>)<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358473,glutamoyl,麩胺醯基,,－COCH<sub>2</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358474,glutaminyl,麩醯胺醯基,,H<sub>2</sub>NCOCH<sub>2</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358475,glucosyl,葡[萄糖]苷基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>O<sub>5</sub>－,2012-11-26
358476,geranyl,香葉[草]基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
358477,galloyl ,五倍子醯基；沒食子醯基,,"3,4,5-(HO)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>CO－",2012-11-26
358478,furylidene,亞二氫呋喃基,,CH<sub>2</sub>OCH=CHC=,2012-11-26
358479,3-furylmethyl,3-呋喃甲基,,C<sub>4</sub>H<sub>3</sub>OCH<sub>2</sub>－,2012-11-26
358480,furyl,呋喃基,,C<sub>4</sub>H<sub>3</sub>O－,2012-11-26
358481,2-furoyl {pyromucyl},2-呋喃甲醯基；糠醯基 {焦黏醯基},,OCH=CHCH=CCO－,2012-11-26
358482,furfurylidene,2-呋喃亞甲基；亞糠基,,C<sub>4</sub>H<sub>3</sub>OCH=,2012-11-26
358483,furfuryl,糠基；2-呋喃甲基,,OCH=CHCH=CCH<sub>2</sub>－,2012-11-26
358484,furazanyl,呋呫基；呋吖基,,N<sub>2</sub>OC<sub>2</sub>H－,2012-11-26
358485,furancarbonyl; furoyl,呋喃甲醯基,,OC<sub>4</sub>H<sub>3</sub>CO－,2012-11-26
358486,fumaroyl {fumaryl},延胡索醯基；反丁烯二醯基,,－COCH=CHCO－,2012-11-26
358487,fumaryl {fumaroyl},延胡索醯基；反丁烯二醯基,,－COCH=CHCO－,2012-11-26
358488,formyloxy,甲醯氧基,,HCOO－,2012-11-26
358489,formylimino,甲醯亞胺基,,HCON=,2012-11-26
358490,formylamino,甲醯胺基,,HCONH－,2012-11-26
358491,formyl,甲醯基；醛基,,HCO－,2012-11-26
358492,formimino,亞胺甲基,,HN=CH－,2012-11-26
358493,formimidoyl,亞胺甲醯基 {亞胺甲基},,HN=CH－,2012-11-26
358494,formazyl,二苯甲【月潛】基,,C<sub>6</sub>H<sub>5</sub>N=N(C<sub>6</sub>H<sub>5</sub>HNN=)C－,2012-11-26
358495,formamido,甲醯胺基,,HCONH－,2012-11-26
358496,fluoroformyl,氟甲醯基 {氟羰基},,FCO－,2012-11-26
358497,fluoro,氟基,,F－,2012-11-26
358498,fluorenylidene,亞茀基,,C<sub>1</sub><sub>3</sub>H<sub>8</sub>=,2012-11-26
358499,fluorenyl,茀基,,C<sub>1</sub><sub>3</sub>H<sub>9</sub>－,2012-11-26
358500,fluoranthenyl,丙[二]烯合茀基,,C<sub>1</sub><sub>6</sub>H<sub>9</sub>－,2012-11-26
358501,fenchyl,葑基,,C<sub>1</sub>0H<sub>1</sub><sub>7</sub>－,2012-11-26
358502,ethynylene,伸乙炔基,,－C≡C－,2012-11-26
358503,ethynyl; ethinyl; acetenyl,乙炔基,,CH≡C－,2012-11-26
358504,ethylthio,乙硫基,,C<sub>2</sub>H<sub>5</sub>S－,2012-11-26
358505,ethylsulfonylamino,乙磺醯胺基,,C<sub>2</sub>H<sub>5</sub>SO<sub>2</sub>NH－,2012-11-26
358506,ethylidyne,次乙基,,CH<sub>3</sub>C≣,2012-11-26
358507,ethylidene,亞乙基,,CH<sub>3</sub>CH=,2012-11-26
358508,ethylenedioxy,伸乙二氧基,,－OCH<sub>2</sub>CH<sub>2</sub>O－,2012-11-26
358509,ethylene,伸乙基,,－CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358510,ethylamino,乙胺基,,C<sub>2</sub>H<sub>5</sub>NH－,2012-11-26
358511,ethyl,乙基,,CH<sub>3</sub>CH<sub>2</sub>－,2012-11-26
358512,ethoxyphenyl,乙氧苯基,,(C<sub>2</sub>H<sub>5</sub>O)C<sub>6</sub>H<sub>4</sub>－,2012-11-26
358513,ethoxyl; ethoxy,乙氧基,,C<sub>2</sub>H<sub>5</sub>O－,2012-11-26
358514,ethoxycarbonyl,乙氧羰基；乙氧甲醯基,,C<sub>2</sub>H<sub>5</sub>OOC－,2012-11-26
358515,ethoxalyl,乙氧羰甲醯基；乙氧草醯基,,C<sub>2</sub>H<sub>5</sub>OOCCO－,2012-11-26
358516,ethenyl; vinyl,乙烯基,,CH<sub>2</sub>=CH－,2012-11-26
358517,ethanoyl,乙醯基,,CH<sub>3</sub>CO－,2012-11-26
358518,ethanesulfonamido,乙磺醯胺基,,C<sub>2</sub>H<sub>5</sub>SO<sub>2</sub>NH－,2012-11-26
358519,ethanediylidene,乙二亞基,,=CHCH=,2012-11-26
358520,ethanedioyl {oxalyl},乙二醯基 {草醯基},,－OCCO－,2012-11-26
358521,epoxy,環氧基；【口咢】基,,－O－,2012-11-26
358522,epithio,環硫基；噻基,,－S－,2012-11-26
358523,episeleno,環硒基,,－Se－,2012-11-26
358524,epimino,環亞胺基 {橋亞胺基},,－NH－,2012-11-26
358525,epidithio,環二硫基 {橋二硫基},,－S－S－,2012-11-26
358526,epidiseleno,環二硒基 {橋二硒基},,－Se－Se－,2012-11-26
358527,epidioxy,環二氧基 {橋二氧基},,－O－O－,2012-11-26
358528,enanthyl; enanthoyl; heptanoyl,庚醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>CO－,2012-11-26
358529,elaidoyl ,反油醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>7</sub>CH=CH(CH<sub>2</sub>)<sub>7</sub>CO－,2012-11-26
358530,eicosyl,二十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
358531,durylene,伸荰基 {伸四甲苯基},,－(CH<sub>3</sub>)<sub>4</sub>C<sub>6</sub>－,2012-11-26
358532,"duryl {2,3,5,6-tetramethylphenyl}","荰基 {2,3,5,6-四甲苯基}",,(CH<sub>3</sub>)<sub>4</sub>C<sub>6</sub>H－,2012-11-26
358533,dotriacontyl,三十二基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>30</sub>CH<sub>2</sub>－,2012-11-26
358534,dodecyl {lauryl},十二基 {月桂基},,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>5</sub>－,2012-11-26
358535,dodecanoyl,十二醯基,,C<sub>1</sub><sub>1</sub>H<sub>2</sub><sub>3</sub>CO－,2012-11-26
358536,docosyl,二十二基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>20</sub>CH<sub>2</sub>－,2012-11-26
358537,dithiosulfo,二硫代磺酸基,,HOS<sub>3</sub>－,2012-11-26
358538,dithiocarboxy,二硫羧基,,HSSC－,2012-11-26
358539,dithio,二硫基,,－S－S－,2012-11-26
358540,dithianaphthyl,二噻萘基,,S<sub>2</sub>C<sub>6</sub>H<sub>7</sub>－,2012-11-26
358541,disiloxanyl,二矽氧烷基,,H<sub>3</sub>SiOSiH<sub>2</sub>－,2012-11-26
358542,disiloxanoxy,二矽氧烷氧基,,H<sub>3</sub>SiOSiH<sub>2</sub>O－,2012-11-26
358543,disilazanylamino,二矽氮烷胺基,,H<sub>3</sub>SiNHSiH<sub>2</sub>NH－,2012-11-26
358544,disilazanoxy,二矽氮烷氧基,,H<sub>3</sub>SiNHSiH<sub>2</sub>O－,2012-11-26
358545,disilanylene,伸二矽烷基,,－H<sub>2</sub>SiSiH<sub>2</sub>－,2012-11-26
358546,disilanylamino,二矽烷胺基,,H<sub>3</sub>SiSiH<sub>2</sub>NH－,2012-11-26
358547,disilanyl,二矽烷基,,H<sub>3</sub>SiSiH<sub>2</sub>－,2012-11-26
358548,disilanoxy,二矽烷氧基,,H<sub>3</sub>SiSiH<sub>2</sub>O－,2012-11-26
358549,diphenylmethylene,二苯亞甲基,,(C<sub>6</sub>H<sub>5</sub>)<sub>2</sub>C=,2012-11-26
358550,diphenylmethyl,二苯甲基,,(C<sub>6</sub>H<sub>5</sub>)<sub>2</sub>CH－,2012-11-26
358551,diphenylene,聯伸苯基,,－C<sub>6</sub>H<sub>4</sub>C<sub>6</sub>H<sub>4</sub>－,2012-11-26
358552,diphenylamino,二苯胺基,,(C<sub>6</sub>H<sub>5</sub>)<sub>2</sub>N－,2012-11-26
358553,dioxy,二氧基,,－O－O－,2012-11-26
358554,dioxacyclohexyl,二【口咢】環己基；二【口咢】烷基,,O<sub>2</sub>C<sub>4</sub>H<sub>7</sub>－,2012-11-26
358555,dimethylbenzoyl,二甲苯甲醯基,,(CH<sub>3</sub>)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CO－,2012-11-26
358556,dimethylamino,二甲胺基,,(CH<sub>3</sub>)<sub>2</sub>N－,2012-11-26
358557,"3,4-dimethoxyphenylacetyl","3,4-二甲氧苯乙醯基",,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CO－,2012-11-26
358558,"3,4-dimethoxyphenethyl","3,4-二甲氧苯乙基",,"3,4-(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>－",2012-11-26
358559,"3,4-dimethoxybenzoyl {veratroyl}","3,4-二甲氧苯甲醯基；3,4-二甲氧苄醯基 {藜蘆醯基}",,"3,4-(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
358560,"2,3-dihydroxypropanoyl {glyceroyl}","2,3-二羥丙醯基 {甘油醯基}",,CH<sub>2</sub>(OH)CH(OH)CO－,2012-11-26
358561,dihydroxyiodo,二羥碘基,,(HO)<sub>2</sub>I－,2012-11-26
358562,"2,3-dihydroxybutanedioyl {tartaroyl}","2,3-二羥丁二醯基 {酒石醯基}",,－OCCH(OH)CH(OH)CO－,2012-11-26
358563,"3,4-dihydroxybenzoyl {protocatechuoyl}","3,4-二羥苯甲醯基；3,4-二羥苄醯基 {兒茶酚甲醯基}",,"3,4-(HO)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
358564,diethylamino,二乙胺基,,(C<sub>2</sub>H<sub>5</sub>)<sub>2</sub>N－,2012-11-26
358565,dichloroiodo,二氯碘基,,Cl<sub>2</sub>I－,2012-11-26
358566,dibenzoylamino {dibenzamido},二(苯甲醯)胺基；二苄醯胺基,,(C<sub>6</sub>H<sub>5</sub>CO)<sub>2</sub>N－,2012-11-26
358567,dibenzamido {dibenzoylamino},二(苯甲醯)胺基；二苄醯胺基,,(C<sub>6</sub>H<sub>5</sub>CO)<sub>2</sub>N－,2012-11-26
358568,diazoamino,重氮胺基,,－N=NNH－,2012-11-26
358569,diazo,重氮基,,N≡N<sup>+</sup>－,2012-11-26
358570,diazaanthryl,二吖蒽基,,N<sub>2</sub>C<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
358571,diaminomethyleneamino,二胺亞甲胺基,,(NH <sub>2</sub>)<sub>2</sub>C=N－,2012-11-26
358572,diacetylamino,二乙醯胺基,,(CH<sub>3</sub>CO)<sub>2</sub>N－,2012-11-26
358573,diacetoxyiodo,二(乙醯氧)碘基,,(CH<sub>3</sub>COO)<sub>2</sub>I－,2012-11-26
358574,diacetamido {diacetylamino},二乙醯胺基,,(CH<sub>3</sub>CO)<sub>2</sub>N－,2012-11-26
358575,desyl,去氧安息香基,,C<sub>6</sub>H<sub>5</sub>COCH(C<sub>6</sub>H<sub>5</sub>)－,2012-11-26
358576,decyl,癸基,,C<sub>10</sub>H<sub>2</sub><sub>1</sub>－,2012-11-26
358577,decanoyl,癸醯基,,C<sub>9</sub>H<sub>1</sub><sub>9</sub>CO－,2012-11-26
358578,decanedioyl,癸二醯基,,－OC(CH<sub>2</sub>)<sub>8</sub>CO－,2012-11-26
358579,cystyl,胱胺醯基,,－OCCH(NH<sub>2</sub>)CH<sub>2</sub>SSCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358580,cysteinyl,半胱胺醯基,,HSCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358581,cystathionyl,單硫(亞甲)胱胺醯基,,,2012-11-26
358582,3-p-cymyl {thymyl},3-對蒔蘿基；3-對【草散】基{瑞香[草]基},,CH<sub>3</sub>(C<sub>3</sub>H<sub>7</sub>)C<sub>6</sub>H<sub>3</sub>－,2012-11-26
358583,cymyl,【草散】基,,CH<sub>3</sub>(C<sub>3</sub>H<sub>7</sub>)C<sub>6</sub>H<sub>3</sub>－,2012-11-26
358584,cyclopropyl,環丙基,,C<sub>3</sub>H<sub>5</sub>－,2012-11-26
358585,cyclopentylidene,亞環戊基,,C<sub>5</sub>H<sub>8</sub>=,2012-11-26
358586,cyclopentylene,伸環戊基,,－C<sub>5</sub>H<sub>8</sub>－,2012-11-26
358587,cyclopentyl,環戊基,,C<sub>5</sub>H<sub>9</sub>－,2012-11-26
358588,2-cyclopentenylidene,2-亞環戊烯基,,,2012-11-26
358589,cyclopentenyl,環戊烯基,,C<sub>5</sub>H<sub>7</sub>－,2012-11-26
358590,"1,2-cyclopentenophenanthryl","1,2-環戊烯菲基",,C<sub>1</sub><sub>7</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
358591,cyclopentanespirocyclobutyl,環戊螺環丁基,,C<sub>8</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
358592,cyclopentadienylidene,亞環戊二烯基,,C<sub>5</sub>H<sub>4</sub>=,2012-11-26
358593,cyclopentadienyl,環戊二烯基,,C<sub>5</sub>H<sub>5</sub>－,2012-11-26
358594,cyclopenta[α]phenanthryl,環戊[α]菲基,,C<sub>1</sub><sub>7</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
358595,cyclohexylthiocarbonyl,環己硫[代]羰基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>CS－,2012-11-26
358596,cyclohexylidene,亞環己基,,C<sub>5</sub>H<sub>10</sub>C=,2012-11-26
358597,cyclohexylene,伸環己基,,－C<sub>6</sub>H<sub>10</sub>－,2012-11-26
358598,cyclohexylcarbonyl,環己羰基 {環己基甲醯基},,C<sub>6</sub>H<sub>1</sub><sub>1</sub>CO－,2012-11-26
358599,cyclohexyl,環己基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
358600,cyclohexenyl,環己烯基,,C<sub>6</sub>H<sub>9</sub>－,2012-11-26
358601,cyclohexanecarboxamido,環己基甲醯胺基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>CONH－,2012-11-26
358602,cyclohexanecarbothionyl,環己硫[代]羰基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>CS－,2012-11-26
358603,cyclohexanecarbonyl,環己羰基 {環己基甲醯基},,C<sub>6</sub>H<sub>1</sub><sub>1</sub>CO－,2012-11-26
358604,cyclohexanecarbohydroximoyl,環己基甲肟醯基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>C(=NOH)－,2012-11-26
358605,cyclohexanecarbohydrazonoyl,環己基甲腙醯基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>C(=NNH<sub>2</sub>)－,2012-11-26
358606,cyclohexadienylidene,亞環己二烯基,,C<sub>6</sub>H<sub>6</sub>=,2012-11-26
358607,cyclohexadienylene,伸環己二烯基,,－C<sub>6</sub>H<sub>6</sub>－,2012-11-26
358608,"2,4-cyclohexadienyl","2,4-環己二烯基",,C<sub>6</sub>H<sub>7</sub>－,2012-11-26
358609,cyclohexadienyl,環己二烯基,,C<sub>6</sub>H<sub>7</sub>－,2012-11-26
358610,cycloheptyl,環庚基,,C<sub>7</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
358611,cyclobutyl,環丁基,,C<sub>4</sub>H<sub>7</sub>－,2012-11-26
358612,cyano,氰基,,NC－,2012-11-26
358613,cyanato,氰氧基,,NCO－,2012-11-26
358614,cumyl; cumenyl {isopropylphenyl},【草久】基 {異丙苯基},,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>－,2012-11-26
358615,cumoyl,茴香醯基；對異丙苯甲醯基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
358616,p-cuminylidene,對異丙亞苄基；【草久】亞甲基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
358617,cuminylidene,亞茴香基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
358618,cuminyl,對異丙苄基；茴香基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
358619,cumidino,【草久】胺基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>NH－,2012-11-26
358620,cumal,亞茴香基 {對異丙亞苄基；【草久】亞甲基},,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
358621,crotyl,巴豆基,,CH<sub>3</sub>CH=CHCH<sub>2</sub>－,2012-11-26
358622,crotonylidene,亞巴豆基,,CH<sub>3</sub>CH=CHCH=,2012-11-26
358623,crotonyl {crotonoyl},巴豆醯基,,CH<sub>3</sub>CH=CHCO－,2012-11-26
358624,crotonoyl {crotonyl},巴豆醯基,,CH<sub>3</sub>CH=CHCO－,2012-11-26
358625,cresylene,伸苄基,,－C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
358626,cresyl,甲苯酚基,,HOC<sub>6</sub>H<sub>3</sub>(CH<sub>3</sub>)－,2012-11-26
358627,cresoxy,甲苯氧基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>O－,2012-11-26
358628,cresotyl,甲苯酚甲醯基,,HO(CH<sub>3</sub>)C<sub>6</sub>H<sub>3</sub>CO－,2012-11-26
358629,coumarinyl,香豆素基,,O<sub>2</sub>C<sub>9</sub>H<sub>5</sub>－,2012-11-26
358630,coniferyl,松柏基,,HO(CH<sub>3</sub>O)C<sub>6</sub>H<sub>3</sub>CH=CHCH<sub>2</sub>－,2012-11-26
358631,citronellyl,香茅基,,(CH<sub>3</sub>)<sub>2</sub>C=CHCH<sub>2</sub>CH<sub>2</sub>CH(CH<sub>3</sub>)CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358632,citraconoyl,檸康醯基,,－OC(CH<sub>3</sub>)C=CHCO－,2012-11-26
358633,cinnolinyl ,【口辛】啉基,,N<sub>2</sub>C<sub>8</sub>H<sub>5</sub>－,2012-11-26
358634,cinnamyl,桂皮基；肉桂基；苯烯丙基,,<p>C<sub>6</sub>H<sub>5</sub>CH=CHCH<sub>2</sub>－</p>,2012-11-26
358635,cinnamoyl,桂皮醯基,,C<sub>6</sub>H<sub>5</sub>CH=CHCO－,2012-11-26
358636,cinnamylidene,苯亞烯丙基,,C<sub>6</sub>H<sub>5</sub>CH=CHCH=,2012-11-26
358637,cinnamal,亞桂皮基,,C<sub>6</sub>H<sub>5</sub>CH=CHCH=,2012-11-26
358638,chrysenyl,【草快】基,,C<sub>1</sub><sub>8</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
358639,chromenyl,【口克】烯基 {苯并哌喃基},,OC<sub>9</sub>H<sub>7</sub>－,2012-11-26
358640,chromanyl,【口克】基 {苯并二氫哌喃基},,OC<sub>9</sub>H<sub>9</sub>－,2012-11-26
358641,cholanthrenyl,胆蒽基,,C<sub>20</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
358642,chloryl,氯醯基,,O<sub>2</sub>Cl－,2012-11-26
358643,chlorothio,氯硫基,,ClS－,2012-11-26
358644,chlorosyl,亞氯醯基,,OCl－,2012-11-26
358645,chloronio,氫氯基,,HCl<sup>+</sup>－,2012-11-26
358646,chloromercuri,氯汞基,,ClHg－,2012-11-26
358647,chloroformyl,氯甲醯基,,ClCO－,2012-11-26
358648,2-chloroethyl,2-氯乙基,,ClCH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358649,chlorocarbonyl ,氯羰基 {氯甲醯基},,ClOC－,2012-11-26
358650,chloro,氯基,,Cl－,2012-11-26
358651,chaulmoogryl,[印]大風子基,,C<sub>5</sub>H<sub>7</sub>(CH<sub>2</sub>)<sub>1</sub><sub>2</sub>CH<sub>2</sub>－,2012-11-26
358652,chaulmoogroyl,[印]大風子醯基,,C<sub>5</sub>H<sub>7</sub>(CH<sub>2</sub>)<sub>1</sub><sub>2</sub>CO－,2012-11-26
358653,cetyl,鯨蠟基；十六基,,C<sub>1</sub><sub>6</sub>H<sub>3</sub><sub>3</sub>－,2012-11-26
358654,ceryl,[蟲]蠟基；二十六基,,C<sub>2</sub><sub>6</sub>H<sub>5</sub><sub>3</sub>－,2012-11-26
358655,caryl,蒈基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
358656,carenyl,蒈烯基,,C<sub>10</sub>H<sub>1</sub><sub>5</sub>－,2012-11-26
358657,carvacryl,香旱芹基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>3</sub>)C<sub>6</sub>H<sub>3</sub>－,2012-11-26
358658,carboxymethyl,羧甲基,,HOOCCH<sub>2</sub>－,2012-11-26
358659,carboxyl,羧基,,HOOC－,2012-11-26
358660,carboxylato,羧根基,,<sup>－</sup>OOC－,2012-11-26
358661,carboxy,羧基,,HOOC－,2012-11-26
358662,carbonyldioxy,羰二氧基,,－OOCO－,2012-11-26
358663,carbonyl,羰基,,OC<,2012-11-26
358664,carbonohydrazido,卡肼基,,NH<sub>2</sub>NHCONHNH－,2012-11-26
358665,carbonimidoyl,伸亞胺醯基；亞胺亞甲基；亞胺羰基,,－C(=NH)－,2012-11-26
358666,carbomethoxy,甲氧甲醯基；甲氧羰基,,CH<sub>3</sub>OOC－,2012-11-26
358667,carbolinyl,咔啉基,,N<sub>2</sub>C<sub>1</sub><sub>1</sub>H<sub>7</sub>－,2012-11-26
358668,carbodiazono,卡二腙基,,NH=NCON=N－,2012-11-26
358669,carbobenzoxy,苄氧甲醯基；苄氧羰基,,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>OCO－,2012-11-26
358670,carbethoxy,乙氧羰基；乙氧甲醯基,,C<sub>2</sub>H<sub>5</sub>OOC－,2012-11-26
358671,carbazoyl,肼甲醯基,,NH<sub>2</sub>NHCO－,2012-11-26
358672,carbazono,卡腙基,,NH=NCONHNH－,2012-11-26
358673,carbazolyl,咔唑基,,(C<sub>6</sub>H<sub>4</sub>)<sub>2</sub>N－,2012-11-26
358674,carbanilino,苯胺甲醯基；苯胺羰基,,C<sub>6</sub>H<sub>5</sub>NHCO－,2012-11-26
358675,carbamoyl; carbamyl,胺甲醯基,,H<sub>2</sub>NCO－,2012-11-26
358676,carbamido {ureido},脲基,,H<sub>2</sub>NCONH－,2012-11-26
358677,caprylyl {capryloyl},辛醯基,,C<sub>7</sub>H<sub>1</sub><sub>5</sub>CO－,2012-11-26
358678,capryloyl{caprylyl},辛醯基,,C<sub>7</sub>H<sub>1</sub><sub>5</sub>CO－,2012-11-26
358679,capryl,癸醯基,,C<sub>9</sub>H<sub>1</sub><sub>9</sub>CO－,2012-11-26
358680,caproyl,己醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CO－,2012-11-26
358681,caprinoyl,癸醯基 {舊名：capryl},,C<sub>9</sub>H<sub>1</sub><sub>9</sub>CO－,2012-11-26
358682,camphorylidene,亞樟腦基,,(C<sub>10</sub>H<sub>1</sub><sub>4</sub>O)=,2012-11-26
358683,camphoryl,樟腦基,,C<sub>10</sub>H<sub>1</sub><sub>5</sub>O－,2012-11-26
